Station ID,Station Name,RMSE,MAPE (%)
40010,Austin,140.9,24.51
40020,Harlem_Lake,573.11,29.02
40030,Pulaski,197.73,21.29
40040,Quincy_Wells,2784.1,55.25
40050,Davis,388.44,22.9
40060,Belmont,1110.4,32.78
40070,Jackson,1464.25,38.8
40080,Sheridan,691.82,24.93
40090,Damen,527.4,34.14
40100,Morse,620.28,24.14
40120,35th_Archer,585.63,36.39
40130,51st,106.6,17.98
40140,Dempster-Skokie,296.78,107.58
40150,Pulaski,174.47,21.71
40160,LaSalle_Van Buren,936.7,54.92
40170,Ashland,989.43,40.18
40180,Oak Park,199.32,34.19
40190,Sox-35th,1367.17,34.97
40210,Damen,269.49,23.61
40220,Western,105.74,17.76
40230,Cumberland,789.76,37.39
40240,79th,562.98,17.88
40250,Kedzie-Homan,160.26,17.73
40260,State_Lake,2773.24,33.04
40270,Main,105.53,18.39
40280,Central,294.91,23.91
40290,Ashland_63rd,125.53,20.14
40300,Indiana,86.33,20.26
40310,Western,763.46,33.26
40320,Division,1310.88,34.1
40330,Grand,2589.94,28.01
40360,Southport,744.23,33.27
40370,Washington,2652.76,35.4
40380,Clark_Lake,3648.56,39.43
40390,Forest Park,248.83,24.88
40400,Noyes,121.16,23.82
40420,Cicero,210.07,22.81
40430,Clinton,809.14,39.36
40440,California,277.69,25.05
40450,95th_Dan Ryan,880.78,22.73
40460,Merchandise Mart,2174.43,49.86
40470,Racine,202.3,107.29
40480,Cicero,165.42,21.62
40490,Grand,714.57,32.8
40510,Garfield,161.26,22.71
40520,Foster,101.29,17.74
40530,Diversey,1114.12,36.29
40540,Wilson,1514.39,27.55
40550,Irving Park,895.04,33.92
40560,Jackson,1888.74,39.39
40570,California,1059.1,33.45
40580,54th_Cermak,503.99,30.56
40590,Damen,1147.34,30.36
40600,Kostner,63.88,19.4
40610,Ridgeland,258.09,37.9
40630,Clark_Division,1248.38,24.14
40650,North_Clybourn,756.58,22.97
40660,Armitage,970.02,35.41
40670,Western,1176.94,35.8
40680,Adams_Wabash,1885.49,41.29
40690,Dempster,65.71,12.33
40700,Laramie,136.05,21.51
40710,Chicago,1578.86,37.86
40720,Cottage Grove,136.78,24.98
40730,Washington_Wells,2799.21,69.33
40740,Western,247.23,26.17
40750,Harlem,474.45,33.36
40760,Granville,628.15,26.06
40780,Central Park,207.6,25.54
40790,Monroe,2014.38,49.76
40800,Sedgwick,881.28,33.3
40810,Illinois Medical District,399.97,39.29
40820,Rosemont,1201.14,30.77
40830,18th,337.03,24.4
40840,South Boulevard,70.69,19.1
40850,Harold Washington Library,1096.47,37.45
40870,Francisco,284.45,30.82
40880,Thorndale,592.63,31.08
40890,O'Hare,3090.16,27.14
40900,Howard,708.76,22.19
40910,63rd,256.8,17.57
40920,Pulaski,183.88,30.13
40930,Midway,1839.53,36.57
40940,Halsted,70.27,20.51
40960,Pulaski,1164.86,39.35
40970,Cicero,78.78,15.1
40980,Harlem,63.93,21.83
40990,69th,557.41,22.28
41000,Cermak-Chinatown,1342.68,30.18
41010,Rockwell,305.48,31.86
41020,Logan Square,1357.24,32.91
41030,Polk,877.64,61.43
41040,Kedzie,223.33,26.28
41050,Linden,243.62,33.95
41060,Ashland,313.14,28.67
41070,Kedzie,156.19,23.05
41080,47th,122.96,21.19
41090,Monroe,1452.23,36.8
41120,35th-Bronzeville-IIT,303.78,30.27
41130,Halsted,682.75,37.83
41140,King Drive,54.15,20.15
41150,Kedzie,705.73,34.57
41160,Clinton,1120.76,41.53
41170,Garfield,476.33,26.41
41180,Kedzie,308.82,24.05
41190,Jarvis,226.7,21.86
41200,Argyle,676.74,25.27
41210,Wellington,742.46,39.85
41220,Fullerton,3108.1,33.59
41230,47th,307.85,22.95
41240,Addison,614.87,35.82
41250,Central,71.48,19.76
41260,Austin,227.62,25.85
41270,43rd,120.89,22.82
41280,Jefferson Park,1547.25,33.9
41290,Kimball,797.61,29.35
41300,Loyola,967.94,27.81
41310,Paulina,576.13,34.49
41320,Belmont,1933.31,23.57
41330,Montrose,658.49,41.33
41340,LaSalle,652.47,35.23
41350,Oak Park,261.17,32.56
41360,California,224.84,30.72
41380,Bryn Mawr,290.93,19.32
41400,Roosevelt,2086.88,25.61
41410,Chicago,938.02,36.97
41420,Addison,4174.08,35.3
41430,87th,304.77,17.72
41440,Addison,438.5,34.72
41450,Chicago,1933.07,24.38
41460,Irving Park,579.32,36.12
41480,Western,611.1,29.27
41490,Harrison,911.29,26.61
41500,Montrose,431.81,31.19
41510,Morgan,1254.04,34.47
41660,Lake,3236.13,29.74
41670,Conservatory,155.27,12.57
41680,Oakton-Skokie,106.97,47.8
41690,Cermak-McCormick Place,486.73,41.06
41700,Washington_Wabash,2203.64,32.6
